                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             acc clusters: [tensor(55.), tensor(0.)]
Client 1, Select Cluster: 1
acc clusters: [tensor(8.), tensor(41.8000)]
Client 65, Select Cluster: 0
acc clusters: [tensor(46.2500), tensor(0.)]
Client 33, Select Cluster: 1
acc clusters: [tensor(45.8500), tensor(72.2500)]
Client 38, Select Cluster: 1
acc clusters: [tensor(8.), tensor(41.8000)]
Client 10, Select Cluster: 0
acc clusters: [tensor(50.6500), tensor(22.2500)]
Client 80, Select Cluster: 0
acc clusters: [tensor(50.6500), tensor(22.2500)]
Client 5, Select Cluster: 0
acc clusters: [tensor(43.0500), tensor(0.)]
Client 73, Select Cluster: 0
acc clusters: [tensor(62.6000), tensor(22.2500)]
## END OF ROUND ##
Average Train loss 0.166
AVG Init Test Loss: 1.689, AVG Init Test Acc: 50.302
AVG Final Test Loss: 0.105, AVG Final Test Acc: 95.675
--- PRINTING ALL CLIENTS STATUS ---
Client   0, labels {0: 353, 4: 240}, count 0, best_acc 0.000, current_acc 0.000 

Client   1, labels {1: 273, 8: 261}, count 0, best_acc 98.100, current_acc 98.100 

Client   2, labels {2: 300, 9: 273}, count 0, best_acc 0.000, current_acc 0.350 

Client   3, labels {3: 334, 9: 273}, count 0, best_acc 99.900, current_acc 99.900 

Client   4, labels {4: 240, 8: 261}, count 0, best_acc 0.000, current_acc 0.000 

Client   5, labels {0: 353, 5: 353}, count 0, best_acc 98.800, current_acc 98.800 

Client   6, labels {4: 240, 6: 353}, count 0, best_acc 70.650, current_acc 70.650 

Client   7, labels {4: 240, 7: 316}, count 0, best_acc 99.750, current_acc 99.750 

Client   8, labels {1: 273, 8: 261}, count 0, best_acc 0.000, current_acc 0.000 

Client   9, labels {4: 240, 9: 273}, count 0, best_acc 99.800, current_acc 99.800 

Client  10, labels {0: 353, 3: 334}, count 0, best_acc 88.150, current_acc 88.150 

Client  11, labels {1: 273, 9: 273}, count 0, best_acc 99.750, current_acc 99.750 

Client  12, labels {2: 300, 4: 240}, count 0, best_acc 69.000, current_acc 69.000 

Client  13, labels {3: 334, 8: 261}, count 0, best_acc 98.150, current_acc 98.150 

Client  14, labels {0: 353, 4: 240}, count 0, best_acc 0.000, current_acc 0.000 

Client  15, labels {5: 353, 7: 316}, count 0, best_acc 0.000, current_acc 12.150 

Client  16, labels {3: 334, 6: 353}, count 0, best_acc 0.000, current_acc 13.250 

Client  17, labels {1: 273, 7: 316}, count 0, best_acc 0.000, current_acc 12.150 

Client  18, labels {4: 240, 8: 261}, count 0, best_acc 0.000, current_acc 0.000 

Client  19, labels {4: 240, 9: 273}, count 0, best_acc 99.450, current_acc 99.450 

Client  20, labels {0: 353, 5: 353}, count 0, best_acc 0.000, current_acc 0.000 

Client  21, labels {0: 353, 1: 273}, count 0, best_acc 0.000, current_acc 0.000 

Client  22, labels {2: 300, 3: 334}, count 0, best_acc 93.450, current_acc 93.450 

Client  23, labels {1: 273, 3: 334}, count 0, best_acc 0.000, current_acc 13.250 

Client  24, labels {4: 240, 5: 353}, count 0, best_acc 0.000, current_acc 0.000 

Client  25, labels {5: 353, 6: 353}, count 0, best_acc 99.650, current_acc 99.650 

Client  26, labels {1: 273, 6: 353}, count 0, best_acc 0.000, current_acc 0.000 

Client  27, labels {1: 273, 7: 316}, count 0, best_acc 99.350, current_acc 99.350 

Client  28, labels {3: 333, 8: 261}, count 0, best_acc 98.200, current_acc 98.200 

Client  29, labels {2: 300, 9: 273}, count 0, best_acc 0.000, current_acc 0.350 

Client  30, labels {0: 353, 2: 300}, count 0, best_acc 0.000, current_acc 0.350 

Client  31, labels {1: 273, 7: 316}, count 0, best_acc 99.300, current_acc 99.300 

Client  32, labels {2: 300, 6: 353}, count 0, best_acc 0.000, current_acc 0.350 

Client  33, labels {2: 300, 3: 333}, count 0, best_acc 94.950, current_acc 94.950 

Client  34, labels {1: 273, 4: 240}, count 0, best_acc 0.000, current_acc 0.000 

Client  35, labels {2: 300, 5: 353}, count 0, best_acc 0.000, current_acc 0.350 

Client  36, labels {0: 353, 6: 353}, count 0, best_acc 0.000, current_acc 0.000 

Client  37, labels {7: 316, 9: 273}, count 0, best_acc 0.000, current_acc 12.150 

Client  38, labels {1: 273, 8: 261}, count 0, best_acc 98.700, current_acc 98.700 

Client  39, labels {2: 300, 9: 273}, count 0, best_acc 99.800, current_acc 99.650 

Client  40, labels {0: 353, 9: 273}, count 0, best_acc 99.750, current_acc 99.750 

Client  41, labels {1: 273, 2: 300}, count 0, best_acc 98.000, current_acc 98.000 

Client  42, labels {2: 300, 8: 261}, count 0, best_acc 96.100, current_acc 96.100 

Client  43, labels {0: 353, 3: 333}, count 0, best_acc 88.250, current_acc 88.250 

Client  44, labels {4: 240, 7: 316}, count 0, best_acc 99.600, current_acc 99.600 

Client  45, labels {5: 353, 8: 261}, count 0, best_acc 94.300, current_acc 94.300 

Client  46, labels {4: 240, 6: 353}, count 0, best_acc 70.850, current_acc 70.850 

Client  47, labels {2: 300, 7: 316}, count 0, best_acc 0.000, current_acc 12.500 

Client  48, labels {3: 333, 8: 261}, count 0, best_acc 97.850, current_acc 97.850 

Client  49, labels {2: 300, 9: 273}, count 0, best_acc 99.650, current_acc 99.650 

Client  50, labels {0: 353, 6: 353}, count 0, best_acc 72.900, current_acc 72.900 

Client  51, labels {1: 273, 9: 273}, count 0, best_acc 0.000, current_acc 0.000 

Client  52, labels {2: 300, 5: 353}, count 0, best_acc 99.400, current_acc 99.400 

Client  53, labels {3: 333, 8: 261}, count 0, best_acc 98.300, current_acc 98.300 

Client  54, labels {4: 240, 9: 273}, count 0, best_acc 99.850, current_acc 99.850 

Client  55, labels {4: 240, 5: 353}, count 0, best_acc 98.650, current_acc 98.650 

Client  56, labels {0: 353, 6: 353}, count 0, best_acc 0.000, current_acc 0.000 

Client  57, labels {7: 316, 8: 261}, count 0, best_acc 98.800, current_acc 98.800 

Client  58, labels {3: 333, 8: 261}, count 0, best_acc 0.000, current_acc 13.250 

Client  59, labels {4: 240, 9: 273}, count 0, best_acc 99.800, current_acc 99.800 

Client  60, labels {0: 353, 1: 273}, count 0, best_acc 97.100, current_acc 97.100 

Client  61, labels {1: 273, 9: 273}, count 0, best_acc 0.000, current_acc 0.000 

Client  62, labels {2: 300, 4: 240}, count 0, best_acc 0.000, current_acc 0.350 

Client  63, labels {3: 333, 7: 316}, count 0, best_acc 100.000, current_acc 100.000 

Client  64, labels {1: 273, 4: 240}, count 0, best_acc 96.900, current_acc 96.900 

Client  65, labels {5: 353, 8: 261}, count 0, best_acc 97.250, current_acc 97.250 

Client  66, labels {0: 353, 6: 353}, count 0, best_acc 50.000, current_acc 50.000 

Client  67, labels {3: 333, 7: 316}, count 0, best_acc 0.000, current_acc 25.400 

Client  68, labels {8: 261, 9: 273}, count 0, best_acc 0.000, current_acc 0.000 

Client  69, labels {4: 240, 9: 273}, count 0, best_acc 0.000, current_acc 0.000 

